id,ACTION
1,0.968320
2,0.960493
3,0.926293
4,0.922375
5,0.948058
6,0.960658
7,0.929545
8,0.926771
9,0.932977
10,0.964306
11,0.964342
12,0.944132
13,0.944219
14,0.923001
15,0.847074
16,0.947908
17,0.960398
18,0.964458
19,0.858973
20,0.959401
21,0.949298
22,0.949418
23,0.808600
24,0.885612
25,0.961044
26,0.978723
27,0.961626
28,0.944935
29,0.963995
30,0.955011
31,0.976300
32,0.939865
33,0.948051
34,0.954219
35,0.968097
36,0.989412
37,0.888975
38,0.823496
39,0.938747
40,0.966371
41,0.835271
42,0.961135
43,0.924626
44,0.934084
45,0.914359
46,0.941744
47,0.946468
48,0.949259
49,0.942841
50,0.927743
51,0.926858
52,0.962875
53,0.954491
54,0.730687
55,0.948951
56,0.920498
57,0.783445
58,0.769149
59,0.926875
60,0.933970
61,0.911896
62,0.935427
63,0.841072
64,0.886979
65,0.950328
66,0.944087
67,0.954359
68,0.965089
69,0.957307
70,0.918191
71,0.937786
72,0.803647
73,0.957485
74,0.421300
75,0.952327
76,0.971479
77,0.492323
78,0.939725
79,0.946721
80,0.952926
81,0.898099
82,0.951099
83,0.945854
84,0.950877
85,0.951837
86,0.954257
87,0.958198
88,0.975092
89,0.978272
90,0.949429
91,0.944701
92,0.892386
93,0.924140
94,0.924175
95,0.940881
96,0.862701
97,0.885362
98,0.934584
99,0.930209
100,0.576065
101,0.934456
102,0.967199
103,0.650120
104,0.969795
105,0.935646
106,0.945021
107,0.959953
108,0.956855
109,0.961040
110,0.916623
111,0.960973
112,0.958492
113,0.975595
114,0.951810
115,0.826958
116,0.956714
117,0.948992
118,0.946693
119,0.923814
120,0.918976
121,0.975822
122,0.965858
123,0.704187
124,0.866723
125,0.839936
126,0.954224
127,0.944806
128,0.949847
129,0.864550
130,0.956415
131,0.502676
132,0.930731
133,0.956703
134,0.955191
135,0.953705
136,0.692539
137,0.960400
138,0.955008
139,0.956821
140,0.920634
141,0.964458
142,0.931694
143,0.843195
144,0.861482
145,0.960200
146,0.950491
147,0.935462
148,0.904138
149,0.941779
150,0.956502
151,0.966644
152,0.948032
153,0.930328
154,0.842190
155,0.946369
156,0.976176
157,0.830868
158,0.938624
159,0.948426
160,0.972072
161,0.935922
162,0.950454
163,0.965593
164,0.969718
165,0.871460
166,0.821300
167,0.956698
168,0.961607
169,0.967115
170,0.952670
171,0.942093
172,0.931661
173,0.956521
174,0.934042
175,0.831574
176,0.921177
177,0.885353
178,0.881195
179,0.944813
180,0.949851
181,0.821208
182,0.927060
183,0.909780
184,0.940181
185,0.949934
186,0.955117
187,0.956940
188,0.957988
189,0.940619
190,0.937564
191,0.749235
192,0.941975
193,0.874842
194,0.934050
195,0.933266
196,0.511056
197,0.932758
198,0.939093
199,0.963554
200,0.924559
201,0.966869
202,0.920291
203,0.964262
204,0.783451
205,0.977248
206,0.906714
207,0.944110
208,0.947988
209,0.956834
210,0.952182
211,0.958128
212,0.941557
213,0.947748
214,0.954783
215,0.969352
216,0.953602
217,0.967570
218,0.950234
219,0.707691
220,0.917242
221,0.937022
222,0.963848
223,0.931768
224,0.960591
225,0.937601
226,0.920838
227,0.926879
228,0.945645
229,0.950295
230,0.910453
231,0.949610
232,0.951980
233,0.928418
234,0.943923
235,0.940215
236,0.926853
237,0.934923
238,0.969160
239,0.960073
240,0.949797
241,0.960964
242,0.955839
243,0.580090
244,0.962653
245,0.846797
246,0.940356
247,0.934174
248,0.895704
249,0.886160
250,0.838562
251,0.925804
252,0.947538
253,0.946450
254,0.900063
255,0.943825
256,0.959178
257,0.865229
258,0.932247
259,0.934163
260,0.910289
261,0.947285
262,0.953944
263,0.973410
264,0.953581
265,0.945303
266,0.891888
267,0.953486
268,0.953813
269,0.842318
270,0.414076
271,0.932671
272,0.969546
273,0.942810
274,0.959933
275,0.935176
276,0.929751
277,0.959180
278,0.950738
279,0.968234
280,0.947929
281,0.949318
282,0.719339
283,0.916623
284,0.805871
285,0.961703
286,0.944130
287,0.931427
288,0.938849
289,0.704983
290,0.914937
291,0.956745
292,0.946587
293,0.927141
294,0.924717
295,0.887984
296,0.752100
297,0.932041
298,0.879369
299,0.975368
300,0.876415
301,0.908192
302,0.972266
303,0.948085
304,0.969140
305,0.824469
306,0.972735
307,0.929250
308,0.961918
309,0.934797
310,0.956468
311,0.967734
312,0.745031
313,0.881357
314,0.922247
315,0.871155
316,0.962788
317,0.656857
318,0.960532
319,0.952706
320,0.913944
321,0.941481
322,0.882287
323,0.325108
324,0.948478
325,0.944733
326,0.916601
327,0.855224
328,0.938202
329,0.940968
330,0.942462
331,0.953820
332,0.956272
333,0.965136
334,0.943224
335,0.647455
336,0.972327
337,0.482291
338,0.937397
339,0.958797
340,0.953846
341,0.925440
342,0.756497
343,0.317863
344,0.963893
345,0.952401
346,0.903274
347,0.875808
348,0.968219
349,0.956165
350,0.940038
351,0.943187
352,0.957380
353,0.938449
354,0.939539
355,0.504559
356,0.889616
357,0.564475
358,0.942078
359,0.948261
360,0.956862
361,0.977159
362,0.922369
363,0.838623
364,0.420662
365,0.803902
366,0.964708
367,0.963967
368,0.680008
369,0.961546
370,0.928441
371,0.923317
372,0.959117
373,0.708723
374,0.844384
375,0.938559
376,0.980808
377,0.936955
378,0.453911
379,0.943821
380,0.969472
381,0.978138
382,0.936184
383,0.849361
384,0.952128
385,0.972671
386,0.955182
387,0.647395
388,0.948207
389,0.911464
390,0.941586
391,0.931897
392,0.963050
393,0.969297
394,0.955205
395,0.932901
396,0.947414
397,0.888735
398,0.895926
399,0.933546
400,0.943965
401,0.945926
402,0.960805
403,0.930862
404,0.872000
405,0.945251
406,0.985156
407,0.947210
408,0.891504
409,0.864260
410,0.942433
411,0.736186
412,0.958055
413,0.932527
414,0.962288
415,0.939244
416,0.947610
417,0.955960
418,0.974448
419,0.293897
420,0.929021
